HourlyActiveSessions,HourlyActiveUsers,EventUtcYear,EventUtcMonth,EventUtcDay,EventUtcHour
79703,79412,2017,2,12,14
115828,115422,2017,2,14,12
87324,86795,2017,2,26,21
171179,170674,2017,1,24,13
82338,81937,2017,1,4,7
195747,194916,2017,1,4,16
70489,70195,2017,1,7,4
90251,89878,2017,1,16,4
162428,161778,2017,2,15,18
89756,89393,2017,2,18,15
74494,74070,2017,2,26,13
192351,191507,2017,1,5,16
86882,86554,2017,1,16,5
110118,109675,2017,1,26,23
90517,90144,2017,1,4,11
94599,94206,2017,1,11,4
97840,97367,2017,1,14,20
210851,210183,2017,1,20,14
98897,98482,2017,1,26,0
73286,72974,2017,1,28,1
152016,151432,2017,2,3,20
104590,104185,2017,2,13,23
80092,79723,2017,2,18,20
83719,83391,2017,2,20,3
150336,149723,2017,2,20,18
171125,170651,2017,2,23,13
205042,204326,2017,1,24,15
174490,173858,2017,2,2,20
84162,83823,2017,2,20,2
86279,85692,2017,2,27,6
61708,61443,2017,1,1,13
110679,110250,2017,1,13,1
183905,183179,2017,1,24,17
117801,117413,2017,1,31,12
101937,101559,2017,2,16,23
193701,192977,2017,2,23,16
103902,103729,2017,1,3,22
70405,70113,2017,1,22,3
191243,190515,2017,2,3,16
85565,85232,2017,2,16,3
74094,73790,2017,1,6,7
61632,61338,2017,1,7,6
96453,95988,2017,1,8,19
85831,85455,2017,1,19,8
217520,216903,2017,1,6,14
59107,58870,2017,1,14,6
116009,115533,2017,1,20,22
93474,93050,2017,1,22,20
94930,94516,2017,1,24,2
218988,218253,2017,1,26,16
92208,91822,2017,2,5,16
91987,91578,2017,2,12,16
77138,76829,2017,2,16,5
122913,122516,2017,2,16,12
94323,93973,2017,2,24,1
166778,166402,2017,2,6,12
58776,58512,2017,2,12,6
71265,70970,2017,2,12,13
161512,161111,2017,2,13,12
192415,191877,2017,1,12,13
130787,130393,2017,1,13,12
180437,179712,2017,1,13,18
155639,155089,2017,1,18,13
79135,78795,2017,1,30,8
91613,91229,2017,2,11,18
55246,54989,2017,2,18,11
86027,85604,2017,1,4,9
87720,87378,2017,1,9,4
104458,104005,2017,1,25,23
174023,173294,2017,1,16,17
233374,232520,2017,1,17,16
162149,161511,2017,1,17,21
100135,99653,2017,1,21,17
180536,179863,2017,2,9,19
51571,51354,2017,2,19,9
55461,55227,2017,1,8,10
87914,87526,2017,1,10,8
214703,214042,2017,1,13,14
82228,81895,2017,1,14,13
80139,79752,2017,1,21,22
91707,91276,2017,1,22,21
200375,199697,2017,1,31,15
90473,89900,2017,2,28,3
76940,76598,2017,1,25,5
75604,75253,2017,1,26,7
63923,63634,2017,2,19,0
97633,97213,2017,1,10,11
94151,93740,2017,1,11,10
90197,89791,2017,1,29,21
194179,193500,2017,1,30,19
83979,83647,2017,1,24,4
195149,194546,2017,1,31,14
98421,98034,2017,2,10,0
79204,78851,2017,2,11,21
92018,91660,2017,2,21,11
88969,88617,2017,1,16,0
80824,80456,2017,1,2,4
133334,132840,2017,1,2,16
97325,96894,2017,1,4,2
107740,107241,2017,1,14,16
95081,94687,2017,1,16,2
214753,214158,2017,1,16,14
78317,77998,2017,2,1,4
177739,177041,2017,2,1,16
75048,74717,2017,2,4,1
66438,66157,2017,2,4,12
66062,65790,2017,2,12,4
166364,165664,2017,2,15,17
92905,92507,2017,2,16,1
187877,187262,2017,2,17,15
81868,81373,2017,2,26,23
59424,59189,2017,1,8,11
94234,93792,2017,1,11,8
100304,99888,2017,1,27,0
96803,96397,2017,2,8,0
87045,86725,2017,1,6,11
88531,88126,2017,1,11,6
77293,76947,2017,1,25,7
90964,90516,2017,2,12,19
62070,61813,2017,2,19,12
165638,165216,2017,2,24,13
70727,70394,2017,1,2,9
91780,91406,2017,1,9,2
207151,206329,2017,1,11,15
107205,106724,2017,1,14,17
63146,62881,2017,1,15,11
250821,250100,2017,1,17,14
166823,166116,2017,1,18,20
174035,173362,2017,1,20,18
244067,243326,2017,1,30,16
79723,79361,2017,2,1,9
95269,94899,2017,2,9,1
125625,125157,2017,2,16,22
112145,111726,2017,2,20,22
181795,181032,2017,2,22,16
151975,151377,2017,2,22,20
44411,44222,2017,1,1,9
94768,94400,2017,1,9,1
