HourlyActiveSessions,HourlyActiveUsers,EventUtcYear,EventUtcMonth,EventUtcDay,EventUtcHour
61250,60912,2016,6,16,18
28192,28051,2016,6,18,16
25877,25763,2016,6,18,19
26210,26096,2016,6,19,18
88291,87862,2016,6,30,4
81378,80983,2016,7,2,0
74629,74232,2016,7,9,22
131719,131086,2016,7,19,21
171678,170853,2016,7,21,19
96620,96154,2016,7,22,0
90234,89796,2016,7,22,9
67447,67112,2016,7,31,3
83592,83230,2016,8,31,4
120063,119522,2016,9,7,22
104696,104183,2016,9,22,7
167481,166777,2016,9,29,21
92864,92391,2016,10,1,1
95263,94782,2016,10,2,22
83811,83435,2016,10,22,2
71256,70944,2016,10,30,3
255359,254490,2016,12,1,15
109440,108986,2016,12,15,1
23260,23163,2016,6,4,4
84035,83621,2016,6,26,13
93674,93224,2016,7,4,10
85152,84714,2016,7,8,9
57062,56752,2016,7,9,8
65722,65413,2016,7,10,4
193186,192386,2016,8,1,16
192340,191486,2016,8,5,16
61739,61410,2016,8,7,9
93256,92784,2016,8,9,7
110817,110267,2016,8,16,1
90316,89889,2016,8,16,5
213955,213052,2016,8,31,15
199117,198536,2016,9,2,12
94480,94012,2016,9,7,8
94708,94261,2016,9,8,7
90251,89836,2016,9,12,2
96898,96439,2016,10,4,7
166849,166120,2016,10,5,20
81053,80731,2016,10,7,4
86623,86291,2016,10,20,5
110346,109850,2016,12,1,1
85175,84783,2016,12,2,9
132758,132349,2016,12,2,12
99316,98888,2016,12,9,2
98292,97892,2016,12,12,2
48275,48052,2016,6,10,12
21604,21509,2016,6,12,10
32596,32462,2016,6,16,23
57726,57388,2016,6,23,16
154760,154068,2016,6,29,12
128846,128212,2016,7,1,20
187069,186259,2016,7,11,18
159444,158894,2016,7,18,11
96070,95619,2016,7,20,1
130511,129934,2016,8,26,21
222205,221543,2016,10,6,12
92993,92588,2016,10,12,6
201776,200920,2016,11,7,18
177651,176885,2016,11,15,16
204385,203550,2016,11,16,15
80412,80030,2016,11,18,7
91016,90530,2016,12,6,10
69702,69394,2016,12,10,6
78504,78168,2016,12,26,1
79152,78839,2016,12,29,6
171179,170674,2017,1,24,13
23042,22947,2016,6,4,7
31605,31453,2016,6,7,4
42680,42432,2016,6,9,10
39754,39535,2016,6,10,9
69801,69483,2016,7,2,4
86186,85795,2016,7,4,2
92983,92558,2016,7,4,6
76173,75821,2016,7,6,4
95338,94852,2016,7,29,3
96268,95804,2016,7,31,16
70897,70568,2016,9,4,11
125711,125190,2016,9,6,10
61083,60801,2016,9,10,6
62545,62261,2016,9,11,4
99470,98999,2016,10,6,9
65236,64937,2016,10,9,6
180490,179709,2016,10,26,19
87657,87233,2016,11,4,9
76111,75796,2016,11,9,4
83535,83152,2016,11,26,22
88565,88180,2016,12,31,15
82338,81937,2017,1,4,7
195747,194916,2017,1,4,16
70489,70195,2017,1,7,4
90251,89878,2017,1,16,4
87500,87035,2016,7,5,7
75971,75613,2016,7,7,5
80710,80281,2016,7,10,21
176758,175935,2016,7,12,16
84247,83883,2016,7,16,12
99829,99371,2016,7,21,10
104975,104468,2016,7,30,16
193068,192211,2016,8,9,17
96169,95663,2016,8,17,9
193185,192425,2016,9,8,17
63853,63499,2016,9,17,8
172261,171571,2016,9,30,20
88119,87683,2016,10,21,7
250674,249724,2016,10,24,16
95101,94694,2016,10,31,2
161646,161013,2016,11,30,13
88469,88107,2016,12,2,4
74859,74501,2016,12,4,2
198318,197504,2016,12,7,16
80905,80554,2016,12,16,7
72215,71879,2016,12,26,0
88215,87826,2016,12,30,23
192351,191507,2017,1,5,16
86882,86554,2017,1,16,5
110118,109675,2017,1,26,23
74868,74473,2016,6,1,14
33680,33512,2016,6,14,1
58385,58053,2016,6,26,9
104560,104006,2016,6,29,1
85477,85033,2016,7,7,8
82901,82487,2016,7,8,7
90675,90232,2016,7,31,14
217951,217022,2016,8,4,18
62629,62294,2016,8,7,7
86325,85900,2016,8,18,4
84767,84401,2016,8,24,5
225264,224423,2016,8,25,17
104841,104382,2016,9,26,6
243575,242726,2016,10,14,14
204056,203215,2016,10,25,18
102236,101841,2016,10,31,1
85799,85426,2016,10,31,3
115530,115119,2016,10,31,10
60921,60896,2016,11,18,23
150430,149746,2016,11,23,18
110672,110157,2016,11,25,20
74384,74065,2016,11,26,12
114137,113647,2016,12,21,22
138084,137544,2016,12,22,21
60351,60105,2016,12,24,12
70064,69713,2016,12,26,11
92283,91870,2016,12,27,2
