"","dt","dnum","hnum","totchib","winchib","xbxchib","xtkchib","xabchib","totcall","wincall","xbxcall","xtkcall","xabcall","actsess","actuser"
"1",2017-02-01 00:00:00,762,18288,983,669,314,199,115,2119,454,1665,1209,456,94781,94403
"2",2017-02-01 01:00:00,762,18289,958,628,330,215,115,1776,378,1398,1037,361,89843,89476
"3",2017-02-01 02:00:00,762,18290,879,596,283,173,110,1470,299,1171,833,338,85513,85183
"4",2017-02-01 03:00:00,762,18291,903,621,282,197,85,1034,203,831,605,226,82130,81816
"5",2017-02-01 04:00:00,762,18292,695,472,223,147,76,753,166,587,438,149,78317,77998
"6",2017-02-01 05:00:00,762,18293,559,396,163,91,72,472,117,355,256,99,73179,72887
"7",2017-02-01 06:00:00,762,18294,435,312,123,70,53,263,67,196,149,47,71672,71388
"8",2017-02-01 07:00:00,762,18295,325,261,64,39,25,152,69,83,56,27,73379,73081
"9",2017-02-01 08:00:00,762,18296,269,208,61,42,19,89,43,46,33,13,76011,75667
"10",2017-02-01 09:00:00,762,18297,290,238,52,26,26,84,29,55,43,12,79723,79361
"11",2017-02-01 10:00:00,762,18298,253,205,48,21,27,77,33,44,27,17,80445,80080
"12",2017-02-01 11:00:00,762,18299,268,210,58,38,20,132,44,88,60,28,84812,84439
"13",2017-02-01 12:00:00,762,18300,351,281,70,36,34,273,98,175,114,61,104679,104306
"14",2017-02-01 13:00:00,762,18301,506,411,95,63,32,615,188,427,289,138,140940,140450
"15",2017-02-01 14:00:00,762,18302,681,561,120,67,53,1106,357,749,494,255,169669,169071
"16",2017-02-01 15:00:00,762,18303,840,695,145,76,69,1338,424,914,601,313,179564,178872
"17",2017-02-01 16:00:00,762,18304,958,806,152,95,57,1603,507,1096,733,363,177739,177041
"18",2017-02-01 17:00:00,762,18305,907,753,154,93,61,1706,599,1107,751,356,164940,164317
"19",2017-02-01 18:00:00,762,18306,1025,801,224,152,72,1824,673,1151,788,363,160314,159668
"20",2017-02-01 19:00:00,762,18307,972,749,223,148,75,2008,689,1319,916,403,159689,159059
"21",2017-02-01 20:00:00,762,18308,1004,749,255,163,92,2208,641,1567,1100,467,150932,150316
"22",2017-02-01 21:00:00,762,18309,1092,793,299,185,114,2444,661,1783,1238,545,138775,138212
"23",2017-02-01 22:00:00,762,18310,1073,745,328,207,121,2484,552,1932,1354,578,117850,117398
"24",2017-02-01 23:00:00,762,18311,1040,709,331,219,112,2304,505,1799,1300,499,98863,98440
"25",2017-02-02 00:00:00,763,18312,1084,737,347,195,152,2149,454,1695,1209,486,93938,93572
"26",2017-02-02 01:00:00,763,18313,1180,781,399,251,148,2093,359,1734,1224,510,91776,91412
"27",2017-02-02 02:00:00,763,18314,1017,666,351,219,132,1664,268,1396,1006,390,87690,87322
