HourlyActiveSessions,HourlyActiveUsers,EventUtcYear,EventUtcMonth,EventUtcDay,EventUtcHour
192069,190801,2017,3,31,15
79703,79412,2017,2,12,14
115828,115422,2017,2,14,12
87324,86795,2017,2,26,21
81982,81361,2017,3,25,0
171179,170674,2017,1,24,13
112990,112306,2017,3,6,23
103829,103156,2017,3,8,23
167898,166784,2017,3,10,18
163591,162503,2017,3,10,19
65051,64665,2017,3,18,10
61704,61361,2017,3,19,10
86223,85699,2017,3,23,6
95000,94311,2017,3,23,8
81802,81287,2017,4,7,23
82338,81937,2017,1,4,7
195747,194916,2017,1,4,16
70489,70195,2017,1,7,4
90251,89878,2017,1,16,4
162428,161778,2017,2,15,18
89756,89393,2017,2,18,15
74494,74070,2017,2,26,13
84725,84225,2017,3,12,21
174615,173615,2017,3,21,12
144995,143945,2017,3,24,20
60092,59723,2017,4,1,7
99047,98474,2017,4,1,16
102214,101605,2017,4,7,1
192351,191507,2017,1,5,16
86882,86554,2017,1,16,5
110118,109675,2017,1,26,23
102430,101868,2017,4,7,0
90517,90144,2017,1,4,11
94599,94206,2017,1,11,4
97840,97367,2017,1,14,20
210851,210183,2017,1,20,14
98897,98482,2017,1,26,0
73286,72974,2017,1,28,1
152016,151432,2017,2,3,20
104590,104185,2017,2,13,23
80092,79723,2017,2,18,20
83719,83391,2017,2,20,3
150336,149723,2017,2,20,18
171125,170651,2017,2,23,13
179491,178319,2017,3,2,20
54495,54144,2017,3,5,9
111263,110594,2017,3,8,12
83783,83237,2017,3,9,5
55854,55553,2017,3,12,8
91571,91013,2017,3,20,2
85734,85136,2017,3,29,6
69765,69371,2017,4,1,11
205042,204326,2017,1,24,15
174490,173858,2017,2,2,20
84162,83823,2017,2,20,2
86279,85692,2017,2,27,6
173549,172389,2017,3,28,19
61708,61443,2017,1,1,13
110679,110250,2017,1,13,1
91786,91146,2017,3,28,7
183905,183179,2017,1,24,17
117801,117413,2017,1,31,12
101937,101559,2017,2,16,23
193701,192977,2017,2,23,16
144644,143739,2017,3,27,21
201401,200087,2017,4,6,18
103902,103729,2017,1,3,22
70405,70113,2017,1,22,3
191243,190515,2017,2,3,16
85565,85232,2017,2,16,3
124326,123574,2017,3,1,22
215573,214187,2017,3,2,16
278910,277257,2017,3,6,14
80681,80155,2017,3,14,6
109426,108746,2017,3,16,2
100930,100302,2017,3,22,1
93510,92805,2017,4,4,7
203429,202184,2017,4,4,13
82238,81756,2017,4,7,4
74094,73790,2017,1,6,7
61632,61338,2017,1,7,6
96453,95988,2017,1,8,19
85831,85455,2017,1,19,8
70962,70510,2017,3,4,23
83330,82816,2017,3,23,4
102420,101806,2017,4,3,23
94027,93474,2017,4,5,0
217520,216903,2017,1,6,14
59107,58870,2017,1,14,6
116009,115533,2017,1,20,22
93474,93050,2017,1,22,20
94930,94516,2017,1,24,2
218988,218253,2017,1,26,16
92208,91822,2017,2,5,16
91987,91578,2017,2,12,16
77138,76829,2017,2,16,5
122913,122516,2017,2,16,12
94323,93973,2017,2,24,1
204024,202726,2017,3,6,18
189488,188262,2017,3,7,17
83692,83130,2017,3,17,7
60975,60643,2017,3,18,6
166778,166402,2017,2,6,12
58776,58512,2017,2,12,6
71265,70970,2017,2,12,13
161512,161111,2017,2,13,12
100807,100068,2017,3,26,18
192415,191877,2017,1,12,13
130787,130393,2017,1,13,12
180437,179712,2017,1,13,18
155639,155089,2017,1,18,13
79135,78795,2017,1,30,8
91613,91229,2017,2,11,18
55246,54989,2017,2,18,11
86027,85604,2017,1,4,9
87720,87378,2017,1,9,4
104458,104005,2017,1,25,23
62902,62521,2017,3,4,5
67927,67547,2017,3,5,4
149716,148714,2017,3,29,20
94531,93897,2017,3,30,7
61477,61114,2017,4,1,9
84128,83612,2017,4,3,5
85183,84658,2017,4,5,3
65324,64926,2017,4,9,1
174023,173294,2017,1,16,17
233374,232520,2017,1,17,16
162149,161511,2017,1,17,21
100135,99653,2017,1,21,17
180536,179863,2017,2,9,19
51571,51354,2017,2,19,9
97952,97329,2017,3,30,10
80174,79603,2017,3,31,6
69872,69463,2017,4,8,22
55461,55227,2017,1,8,10
87914,87526,2017,1,10,8
214703,214042,2017,1,13,14
82228,81895,2017,1,14,13
80139,79752,2017,1,21,22
91707,91276,2017,1,22,21
200375,199697,2017,1,31,15
90473,89900,2017,2,28,3
54637,54308,2017,3,4,9
86573,86075,2017,3,9,4
249314,248033,2017,3,27,12
277856,276236,2017,3,27,13
93020,92431,2017,3,28,2
102026,101255,2017,4,3,9
66165,65838,2017,4,9,3
76940,76598,2017,1,25,5
75604,75253,2017,1,26,7
63923,63634,2017,2,19,0
102017,101387,2017,3,13,23
122501,121819,2017,3,21,0
227688,226272,2017,3,23,13
97633,97213,2017,1,10,11
94151,93740,2017,1,11,10
90197,89791,2017,1,29,21
194179,193500,2017,1,30,19
55637,55302,2017,3,4,8
84638,84110,2017,3,8,4
103557,102781,2017,3,25,16
98796,98082,2017,4,3,8
69105,68704,2017,4,8,3
83979,83647,2017,1,24,4
195149,194546,2017,1,31,14
98421,98034,2017,2,10,0
79204,78851,2017,2,11,21
92018,91660,2017,2,21,11
88969,88617,2017,1,16,0
152239,151260,2017,3,10,20
116925,116197,2017,3,20,10
112244,111426,2017,3,27,10
171226,170049,2017,3,29,18
80824,80456,2017,1,2,4
133334,132840,2017,1,2,16
97325,96894,2017,1,4,2
107740,107241,2017,1,14,16
95081,94687,2017,1,16,2
214753,214158,2017,1,16,14
78317,77998,2017,2,1,4
177739,177041,2017,2,1,16
75048,74717,2017,2,4,1
66438,66157,2017,2,4,12
66062,65790,2017,2,12,4
166364,165664,2017,2,15,17
92905,92507,2017,2,16,1
187877,187262,2017,2,17,15
81868,81373,2017,2,26,23
71607,71194,2017,4,1,2
66333,65941,2017,4,2,1
72206,71838,2017,4,2,12
88533,87883,2017,4,4,6
81950,81439,2017,4,6,4
59424,59189,2017,1,8,11
94234,93792,2017,1,11,8
100304,99888,2017,1,27,0
96803,96397,2017,2,8,0
87045,86725,2017,1,6,11
88531,88126,2017,1,11,6
77293,76947,2017,1,25,7
90964,90516,2017,2,12,19
62070,61813,2017,2,19,12
165638,165216,2017,2,24,13
79710,79119,2017,3,3,8
88751,88193,2017,3,8,3
190460,189276,2017,3,9,18
68804,68385,2017,3,12,0
60523,60131,2017,3,18,9
80939,80337,2017,3,25,12
96582,95996,2017,3,30,23
70727,70394,2017,1,2,9
91780,91406,2017,1,9,2
207151,206329,2017,1,11,15
107205,106724,2017,1,14,17
63146,62881,2017,1,15,11
250821,250100,2017,1,17,14
166823,166116,2017,1,18,20
174035,173362,2017,1,20,18
244067,243326,2017,1,30,16
79723,79361,2017,2,1,9
95269,94899,2017,2,9,1
125625,125157,2017,2,16,22
112145,111726,2017,2,20,22
181795,181032,2017,2,22,16
151975,151377,2017,2,22,20
120771,120003,2017,3,8,22
89940,89326,2017,3,22,8
44411,44222,2017,1,1,9
94768,94400,2017,1,9,1
156770,156312,2017,1,9,12
96406,95954,2017,1,12,9
68030,67723,2017,2,11,23
87513,87086,2017,2,18,18
89613,89270,2017,2,23,11
183956,182778,2017,3,6,20
185066,183880,2017,3,13,19
86770,86292,2017,3,19,13
85416,84830,2017,3,20,6
179514,178283,2017,3,30,19
186244,185560,2017,2,2,19
62003,61740,2017,2,19,2
155488,154484,2017,3,7,21
