,week,hour_of_week,WindowsToAgentCalls,rate,treatment
0,1,0,9,0.000130353547789059,0.0
1,1,1,9,0.000127249848007126,0.0
2,1,2,8,0.00011073430687244792,0.0
3,1,3,6,7.598495497891418e-05,0.0
4,1,4,14,0.00014307467476060542,0.0
5,1,5,46,0.00039271261973466287,0.0
6,1,6,215,0.0016527909104187327,0.0
7,1,7,301,0.0022537700106324034,0.0
8,1,8,409,0.003067484662576687,0.0
9,1,9,441,0.0034325744308231175,0.0
10,1,10,436,0.003482511561778637,0.0
11,1,11,550,0.004470636049583418,0.0
12,1,12,508,0.004258244061090714,0.0
13,1,13,413,0.0036891139873694743,0.0
14,1,14,380,0.0036955993192317044,0.0
15,1,15,298,0.0031059784874510133,0.0
16,1,16,284,0.002829333413032866,0.0
17,1,17,299,0.00287940216292216,0.0
18,1,18,196,0.002062853895215442,0.0
19,1,19,157,0.0017411362855019907,0.0
20,1,20,98,0.001163826376105932,0.0
21,1,21,75,0.0009226454089164452,0.0
22,1,22,20,0.0002455253013823074,0.0
23,1,23,9,0.00011012003083360864,0.0
24,1,24,8,9.601997215420808e-05,0.0
25,1,25,6,7.057163020465773e-05,0.0
26,1,26,1,1.1510658870113726e-05,0.0
27,1,27,10,9.420453689049664e-05,0.0
28,1,28,13,7.419244378495606e-05,0.0
29,1,29,34,0.00012549737562840966,0.0
30,1,30,208,0.0007264117008161655,0.0
31,1,31,323,0.001229057506953878,0.0
32,1,32,348,0.0014206517035573445,0.0
33,1,33,407,0.0019216967590843846,0.0
34,1,34,406,0.002044042572472889,0.0
35,1,35,488,0.0025896012650838966,0.0
36,1,36,479,0.002745190186088362,0.0
37,1,37,495,0.003393479035840623,0.0
38,1,38,378,0.0036380435410290467,0.0
39,1,39,343,0.0029980420949583947,0.0
40,1,40,297,0.0027788953657007587,0.0
41,1,41,254,0.002462600467312372,0.0
42,1,42,247,0.002537888517852556,0.0
43,1,43,188,0.0020604094515803777,0.0
44,1,44,128,0.0014879049600706755,0.0
45,1,45,81,0.0010023015814091618,0.0
46,1,46,24,0.00029547553093259467,0.0
47,1,47,8,9.71604848308193e-05,0.0
48,1,48,5,5.957984294753399e-05,0.0
49,1,49,5,5.812128750276076e-05,0.0
50,1,50,4,4.7214910468726025e-05,0.0
51,1,51,8,8.838118806412056e-05,0.0
52,1,52,16,0.00013770548239951802,0.0
53,1,53,54,0.00034000113333711114,0.0
54,1,54,223,0.0011823903372728671,0.0
55,1,55,303,0.0015466838180119753,0.0
56,1,56,342,0.0017471532130760624,0.0
57,1,57,373,0.002057147899558237,0.0
58,1,58,388,0.0021693671933532377,0.0
59,1,59,418,0.002349000831703644,0.0
60,1,60,470,0.0027692343950695844,0.0
61,1,61,471,0.0030516447133980807,0.0
62,1,62,411,0.003150584122895778,0.0
63,1,63,344,0.0031721733998506126,0.0
64,1,64,316,0.0031337081883001617,0.0
65,1,65,269,0.002755836944606653,0.0
66,1,66,241,0.0025148963257469034,0.0
67,1,67,204,0.002219224576824333,0.0
68,1,68,128,0.0014642293349195817,0.0
69,1,69,81,0.0009862053011578781,0.0
70,1,70,15,0.00018250839538618777,0.0
71,1,71,14,0.0001692947663732224,0.0
72,1,72,12,0.00014287074959519954,0.0
73,1,73,11,0.0001260947315328534,0.0
74,1,74,6,7.021321412689868e-05,0.0
75,1,75,9,9.881748410685465e-05,0.0
76,1,76,24,0.00020903920356063444,0.0
77,1,77,49,0.00031877175291936377,0.0
78,1,78,231,0.00125675300723041,0.0
79,1,79,311,0.0016075175999917298,0.0
80,1,80,388,0.002017145738779627,0.0
81,1,81,443,0.002446716263759327,0.0
82,1,82,390,0.00221993271896221,0.0
83,1,83,447,0.0026060796865708187,0.0
84,1,84,446,0.0027163320990060418,0.0
85,1,85,459,0.0030515167833423083,0.0
86,1,86,443,0.00346293951190532,0.0
87,1,87,375,0.0034244386203621685,0.0
88,1,88,304,0.002932353309990258,0.0
89,1,89,264,0.002581856589602159,0.0
90,1,90,198,0.0020736675638595354,0.0
91,1,91,175,0.0019487533546397034,0.0
